codice,file,w,h,keep,elementi,item,item_w,item_h,dcol,dedge,ink,item_rot
PA925N,PA925N__solo.webp,1526,941,1.0,4,PA925N__item.webp,827,482,193.09,0.0869,,
PA926B,PA926B__solo.webp,1379,943,0.99,5,PA926B__item.webp,778,617,180.82,0.1135,,
PA926N,PA926N__solo.webp,1393,938,0.991,4,PA926N__item.webp,790,597,180.82,0.1135,,
PA927B,PA927B__solo.webp,1250,955,0.99,2,PA927B__item.webp,523,646,165.01,0.1035,,
PA927N,PA927N__solo.webp,1263,955,0.992,2,PA927N__item.webp,539,649,165.01,0.1035,,
PA930,PA930__solo.webp,1528,945,0.99,4,PA930__item.webp,370,900,,,,
PA933,PA933__solo.webp,1301,730,0.985,4,PA933__item.webp,900,591,,,,
PA934,PA934__solo.webp,1424,693,0.987,4,PA934__item.webp,482,539,,,,
PA939,PA939__solo.webp,1156,899,0.944,2,PA939__item.webp,446,645,,,,
PA945B,PA945B__solo.webp,1523,939,0.946,2,PA945B__item.webp,385,810,,,,
PA946B,PA946B__solo.webp,1540,959,0.95,2,PA946B__item.webp,845,464,,,,
PA948B,PA948B__solo.webp,1523,968,0.96,2,PA948B__item.webp,601,594,,,,
PA949B,PA949B__solo.webp,1523,946,0.936,5,PA949B__item.webp,761,216,,,,
PA952-6035,PA952-6035__solo.webp,1526,952,0.995,5,PA952-6035__item.webp,336,400,0.02,0.0028,,
PA952-8040,PA952-8040__solo.webp,1528,952,0.995,5,PA952-8040__item.webp,336,400,0.02,0.0028,,
PA952-9043,PA952-9043__solo.webp,1529,952,0.995,5,PA952-9043__item.webp,336,400,0.02,0.0028,,
PA954-0913,PA954-0913__solo.webp,1520,939,0.945,3,PA954-0913__item.webp,383,590,4.23,0.0747,,
PA954-1015,PA954-1015__solo.webp,1527,937,0.943,3,PA954-1015__item.webp,405,627,4.23,0.0747,,
PA954-1318,PA954-1318__solo.webp,1528,943,0.946,4,PA954-1318__item.webp,434,686,4.23,0.0747,,
PA954-2130,PA954-2130__solo.webp,1527,940,0.957,5,PA954-2130__item.webp,583,899,4.23,0.0747,,
PA957,PA957__solo.webp,1477,852,0.991,3,PA957__item.webp,886,462,,,,
PA963N,PA963N__solo.webp,1529,809,0.982,4,PA963N__item.webp,658,728,123.46,0.097,,
PA964N,PA964N__solo.webp,1538,864,0.982,3,PA964N__item.webp,656,739,123.46,0.097,,
PA965B,PA965B__solo.webp,1119,773,0.849,2,PA965B__item.webp,622,716,123.46,0.097,,
PA966-01,PA966-01__solo.webp,1522,941,0.987,5,PA966-01__item.webp,435,301,76.8,0.1415,,
PA966-05,PA966-05__solo.webp,1523,914,0.987,4,PA966-05__item.webp,241,170,76.8,0.1415,,
PA966-07,PA966-07__solo.webp,1524,946,0.983,4,PA966-07__item.webp,518,313,76.8,0.1415,,
PA966-09,PA966-09__solo.webp,1523,915,0.98,4,PA966-09__item.webp,529,319,76.8,0.1415,,
PA967,PA967__solo.webp,1527,943,0.989,9,PA967__item.webp,718,761,20.2,0.2014,,
PA972,PA972__solo.webp,1527,942,0.983,10,PA972__item.webp,900,773,20.2,0.2014,,
PA990,PA990__solo.webp,1477,791,0.992,5,PA990__item.webp,634,268,72.81,0.1807,,
PA991,PA991__solo.webp,1476,757,0.99,4,PA991__item.webp,543,232,,,,
PA992,PA992__solo.webp,1337,705,0.99,5,PA992__item.webp,530,207,72.81,0.1807,,
PB1000IT,PB1000IT__solo.webp,1268,1001,0.935,2,PB1000IT__item.webp,562,900,,,,
PB1001IT,PB1001IT__solo.webp,1268,1001,0.919,2,PB1001IT__item.webp,562,900,0.13,0.0012,,
PB1002IT,PB1002IT__solo.webp,1268,1001,0.939,2,PB1002IT__item.webp,562,900,0.13,0.0012,,
PB1003IT,PB1003IT__solo.webp,1268,1001,0.931,2,PB1003IT__item.webp,562,900,0.13,0.0012,,
PB1004IT,PB1004IT__solo.webp,1268,1001,0.924,2,PB1004IT__item.webp,562,900,0.13,0.0012,,
PB1005IT,PB1005IT__solo.webp,1268,1001,0.91,2,PB1005IT__item.webp,562,900,0.13,0.0012,,
PB1006IT,PB1006IT__solo.webp,1268,1001,0.92,2,PB1006IT__item.webp,562,900,0.13,0.0012,,
PB1007IT,PB1007IT__solo.webp,1268,1001,0.928,2,PB1007IT__item.webp,562,900,0.13,0.0012,,
PB1008IT,PB1008IT__solo.webp,1268,1001,0.93,2,PB1008IT__item.webp,562,900,0.13,0.0012,,
