codice,file,w,h,keep,elementi,item,item_w,item_h,dcol,dedge,ink,item_rot
PC228,PC228__solo.webp,1529,949,0.988,3,PC228__item.webp,829,454,,,,
PC230,PC230__solo.webp,889,932,0.871,2,PC230__item.webp,888,610,69.78,0.1099,,
PC230T,PC230T__solo.webp,1525,921,0.978,4,PC230T__item.webp,871,627,69.78,0.1099,,
PC301,PC301__solo.webp,1461,931,0.976,4,PC301__item.webp,774,561,103.96,0.0199,,
PC302,PC302__solo.webp,1456,926,0.971,4,PC302__item.webp,600,445,103.96,0.0199,,
PC303,PC303__solo.webp,1459,925,0.977,4,PC303__item.webp,802,594,81.28,0.0945,,
PC303IT,PC303IT__solo.webp,1230,960,0.957,3,PC303IT__item.webp,616,900,81.28,0.0945,,
PC305,PC305__solo.webp,1539,935,0.994,5,PC305__item.webp,745,539,65.04,0.091,,
PC305A,PC305A__solo.webp,1525,928,0.967,5,,,,65.04,0.091,,
PC305AF-P,PC305AF-P__solo.webp,1538,944,0.98,4,PC305AF-P__item.webp,770,687,65.04,0.091,,
PC305AF,PC305AF__solo.webp,1539,932,0.98,5,PC305AF__item.webp,751,671,65.04,0.091,,
PC305F-P,PC305F-P__solo.webp,1530,970,0.976,4,PC305F-P__item.webp,770,597,65.04,0.091,,
PC305F,PC305F__solo.webp,1525,936,0.975,5,PC305F__item.webp,803,584,65.04,0.091,,
PC306,PC306__solo.webp,1527,925,0.995,4,PC306__item.webp,900,406,,,,
PC307,PC307__solo.webp,1527,924,0.993,4,PC307__item.webp,900,661,,,,
PC308,PC308__solo.webp,1342,926,0.971,3,PC308__item.webp,811,611,81.28,0.0945,,
PC311,PC311__solo.webp,1207,940,0.944,4,PC311__item.webp,570,810,70.14,0.0786,,
PC311F,PC311F__solo.webp,1210,936,0.84,11,PC311F__item.webp,900,584,70.14,0.0786,,
PC311FIT,PC311FIT__solo.webp,390,925,0.782,2,PC311FIT__item.webp,390,795,11.45,0.076,,
PC311IT,PC311IT__solo.webp,1180,941,0.911,3,PC311IT__item.webp,366,805,63.25,0.0279,,
PC311P,PC311P__solo.webp,1203,927,0.88,4,PC311P__item.webp,530,803,70.14,0.0786,,
PC312,PC312__solo.webp,1254,947,0.936,4,PC312__item.webp,547,829,70.14,0.0786,,
PC312F,PC312F__solo.webp,1210,936,0.84,9,PC312F__item.webp,900,735,70.14,0.0786,,
PC312FIT,PC312FIT__solo.webp,378,930,0.777,2,PC312FIT__item.webp,378,797,11.45,0.076,,
PC312IT,PC312IT__solo.webp,1180,935,0.903,3,PC312IT__item.webp,369,804,63.25,0.0279,,
PC312P,PC312P__solo.webp,1215,931,0.885,4,PC312P__item.webp,531,804,70.14,0.0786,,
PC313,PC313__solo.webp,1254,947,0.936,4,PC313__item.webp,547,829,70.14,0.0786,,
PC313F,PC313F__solo.webp,1210,936,0.838,9,PC313F__item.webp,900,588,70.14,0.0786,,
PC313FIT,PC313FIT__solo.webp,377,928,0.776,2,PC313FIT__item.webp,377,792,11.45,0.076,,
PC313IT,PC313IT__solo.webp,1161,940,0.899,3,PC313IT__item.webp,368,808,63.25,0.0279,,
PC313P,PC313P__solo.webp,1215,931,0.885,4,PC313P__item.webp,531,804,70.14,0.0786,,
PC314,PC314__solo.webp,1169,941,0.935,4,PC314__item.webp,496,836,70.14,0.0786,,
PC314F,PC314F__solo.webp,1158,945,0.828,9,PC314F__item.webp,738,458,70.14,0.0786,,
PC314FIT,PC314FIT__solo.webp,378,919,0.775,2,PC314FIT__item.webp,378,791,11.45,0.076,,
PC314IT,PC314IT__solo.webp,1151,938,0.901,3,PC314IT__item.webp,381,808,63.25,0.0279,,
PC315,PC315__solo.webp,1155,931,0.929,4,PC315__item.webp,521,827,70.14,0.0786,,
PC315F,PC315F__solo.webp,1118,950,0.833,10,PC315F__item.webp,744,420,70.14,0.0786,,
PC315FIT,PC315FIT__solo.webp,374,926,0.774,2,PC315FIT__item.webp,374,800,11.45,0.076,,
PC315IT,PC315IT__solo.webp,1149,942,0.899,3,PC315IT__item.webp,369,807,63.25,0.0279,,
PC316,PC316__solo.webp,1144,931,0.932,4,PC316__item.webp,551,817,70.14,0.0786,,
PC316F,PC316F__solo.webp,1118,950,0.836,8,PC316F__item.webp,504,848,70.14,0.0786,,
PC316FIT,PC316FIT__solo.webp,383,928,0.778,2,PC316FIT__item.webp,383,795,11.45,0.076,,
PC316IT,PC316IT__solo.webp,1180,919,0.905,3,PC316IT__item.webp,364,794,63.25,0.0279,,
PC317,PC317__solo.webp,1144,931,0.937,4,PC317__item.webp,551,817,70.14,0.0786,,
PC317F,PC317F__solo.webp,1186,929,0.847,9,PC317F__item.webp,609,263,70.14,0.0786,,
PC317FIT,PC317FIT__solo.webp,387,932,0.777,2,PC317FIT__item.webp,387,795,11.45,0.076,,
PC317IT,PC317IT__solo.webp,1198,937,0.906,3,PC317IT__item.webp,384,807,63.25,0.0279,,
PC331,PC331__solo.webp,1461,921,0.971,4,PC331__item.webp,667,484,65.44,0.0205,,
PC332,PC332__solo.webp,1536,925,0.969,4,PC332__item.webp,608,442,65.44,0.0205,,
PC333,PC333__solo.webp,1474,941,0.978,6,PC333__item.webp,893,610,65.44,0.0205,,
PC335,PC335__solo.webp,1527,934,0.994,5,PC335__item.webp,731,528,50.57,0.0805,,
PC335A,PC335A__solo.webp,1531,939,0.975,7,PC335A__item.webp,753,623,50.57,0.0805,,
PC335AF,PC335AF__solo.webp,1536,934,0.977,5,PC335AF__item.webp,755,652,50.57,0.0805,,
PC335F,PC335F__solo.webp,1538,947,0.978,5,PC335F__item.webp,799,576,50.57,0.0805,,
PC341,PC341__solo.webp,1410,929,0.977,4,PC341__item.webp,802,607,0.32,0.009,,
PC342,PC342__solo.webp,1460,921,0.971,4,PC342__item.webp,599,445,0.32,0.009,,
PC345AF,PC345AF__solo.webp,1537,934,0.976,5,PC345AF__item.webp,773,648,10.18,0.0771,,
PC345F,PC345F__solo.webp,1530,954,0.994,5,PC345F__item.webp,735,561,10.18,0.0771,,
PC346,PC346__solo.webp,1531,927,0.97,5,PC346__item.webp,899,394,,,,
PC348,PC348__solo.webp,1529,933,0.97,5,PC348__item.webp,900,399,,,,
PC349,PC349__solo.webp,1524,924,0.992,5,PC349__item.webp,900,446,,,,
PC350,PC350__solo.webp,1497,932,0.976,4,PC350__item.webp,816,548,81.28,0.0945,,
PC385,PC385__solo.webp,1533,903,0.991,5,PC385__item.webp,900,534,,,,
PC392,PC392__solo.webp,1529,932,0.979,5,PC392__item.webp,900,448,,,,
PC452,PC452__solo.webp,1460,934,0.97,4,PC452__item.webp,900,598,,,,
PC453,PC453__solo.webp,1257,929,0.938,4,PC453__item.webp,900,444,,,,
PC454,PC454__solo.webp,1533,961,0.994,5,PC454__item.webp,900,417,,,,
PC461-P,PC461-P__solo.webp,1524,945,0.993,5,PC461-P__item.webp,900,566,,,,
PC470,PC470__solo.webp,1253,939,0.947,4,PC470__item.webp,760,592,2.37,0.0225,,
PC471,PC471__solo.webp,1141,937,0.922,4,PC471__item.webp,533,415,2.37,0.0225,,
PC476-1,PC476-1__solo.webp,1350,934,0.978,4,PC476-1__item.webp,610,835,121.23,0.0371,,
PC476,PC476__solo.webp,1331,936,0.978,4,PC476__item.webp,620,858,121.23,0.0371,,
PC496,PC496__solo.webp,1162,939,0.971,3,PC496__item.webp,900,621,,,,
PC501,PC501__solo.webp,1523,854,0.994,4,PC501__item.webp,578,715,54.36,0.1441,,
PC501F,PC501F__solo.webp,1538,848,0.992,4,PC501F__item.webp,900,683,54.36,0.1441,,
PC502,PC502__solo.webp,1526,849,0.994,5,PC502__item.webp,580,746,54.36,0.1441,,
PC502F,PC502F__solo.webp,1523,854,0.991,5,PC502F__item.webp,503,762,54.36,0.1441,,
PC503,PC503__solo.webp,1528,848,0.994,5,PC503__item.webp,573,737,54.36,0.1441,,
PC503F,PC503F__solo.webp,1526,848,0.992,3,PC503F__item.webp,590,735,54.36,0.1441,,
PC539-01,PC539-01__solo.webp,1529,944,0.988,3,PC539-01__item.webp,593,424,104.65,0.0401,,
PC539-02,PC539-02__solo.webp,1527,940,0.988,3,PC539-02__item.webp,603,420,104.65,0.0401,,
PC539-03,PC539-03__solo.webp,1529,938,0.988,3,PC539-03__item.webp,604,421,104.65,0.0401,,
PC539-04,PC539-04__solo.webp,1528,940,0.988,3,PC539-04__item.webp,606,423,104.65,0.0401,,
PC539-05,PC539-05__solo.webp,1529,938,0.988,3,PC539-05__item.webp,607,424,104.65,0.0401,,
PC539-06,PC539-06__solo.webp,1529,937,0.988,3,PC539-06__item.webp,605,423,104.65,0.0401,,
PC539-07,PC539-07__solo.webp,1529,937,0.988,3,PC539-07__item.webp,609,425,104.65,0.0401,,
PC539-09,PC539-09__solo.webp,1529,939,0.988,3,PC539-09__item.webp,613,429,104.65,0.0401,,
PC539-10,PC539-10__solo.webp,1529,939,0.988,3,PC539-10__item.webp,614,430,104.65,0.0401,,
PC539-11,PC539-11__solo.webp,1529,939,0.988,3,PC539-11__item.webp,618,432,104.65,0.0401,,
PC539-12,PC539-12__solo.webp,1529,938,0.988,3,PC539-12__item.webp,619,432,104.65,0.0401,,
PC539-13,PC539-13__solo.webp,1528,944,0.962,5,,,,104.65,0.0401,,
PC540-01,PC540-01__solo.webp,1523,938,0.985,3,PC540-01__item.webp,510,359,104.65,0.0401,,
PC540-02,PC540-02__solo.webp,1523,937,0.985,3,PC540-02__item.webp,515,363,104.65,0.0401,,
PC540-03,PC540-03__solo.webp,1523,937,0.985,3,PC540-03__item.webp,516,363,104.65,0.0401,,
PC540-04,PC540-04__solo.webp,1522,938,0.985,3,PC540-04__item.webp,514,363,104.65,0.0401,,
PC540-06,PC540-06__solo.webp,1527,935,0.985,3,PC540-06__item.webp,521,366,104.65,0.0401,,
PC540-08,PC540-08__solo.webp,1530,937,0.985,3,PC540-08__item.webp,524,368,104.65,0.0401,,
PC540-09,PC540-09__solo.webp,1530,939,0.985,3,PC540-09__item.webp,526,370,104.65,0.0401,,
PC540-13,PC540-13__solo.webp,1532,938,0.963,4,,,,104.65,0.0401,,
PC541-01,PC541-01__solo.webp,1528,936,0.982,3,PC541-01__item.webp,496,282,104.65,0.0401,,
PC541-02,PC541-02__solo.webp,1527,936,0.982,3,PC541-02__item.webp,502,282,104.65,0.0401,,
PC541-03,PC541-03__solo.webp,1525,934,0.982,3,PC541-03__item.webp,497,280,104.65,0.0401,,
PC541-04,PC541-04__solo.webp,1529,937,0.982,3,PC541-04__item.webp,503,284,104.65,0.0401,,
PC541-06,PC541-06__solo.webp,1527,941,0.982,3,PC541-06__item.webp,514,290,104.65,0.0401,,
PC541-09,PC541-09__solo.webp,1525,932,0.982,3,PC541-09__item.webp,511,288,104.65,0.0401,,
PC541-13,PC541-13__solo.webp,1529,939,0.963,4,,,,104.65,0.0401,,
PC549,PC549__solo.webp,1524,934,0.947,5,PC549__item.webp,569,774,,,,
PC550,PC550__solo.webp,1133,941,0.939,4,PC550__item.webp,492,373,,,,
PC551,PC551__solo.webp,1254,930,0.963,4,PC551__item.webp,900,614,,,,
PC552,PC552__solo.webp,1514,927,0.976,3,PC552__item.webp,810,617,88.79,0.1067,,
PC553,PC553__solo.webp,1486,918,0.967,14,PC553__item.webp,900,544,,,,
PC554,PC554__solo.webp,1483,922,0.968,14,PC554__item.webp,900,542,88.79,0.1067,,
PC555,PC555__solo.webp,1528,934,0.976,4,PC555__item.webp,735,541,,,,
PC556,PC556__solo.webp,1528,934,0.975,4,PC556__item.webp,734,541,,,,
PC611,PC611__solo.webp,1524,928,0.993,4,PC611__item.webp,735,519,68.9,0.1045,,
PC612,PC612__solo.webp,1525,933,0.962,4,PC612__item.webp,900,620,,,,
PC613,PC613__solo.webp,1526,929,0.99,4,PC613__item.webp,900,551,,,,
PC614,PC614__solo.webp,1530,934,0.971,5,PC614__item.webp,899,374,,,,
PC616,PC616__solo.webp,1525,948,0.992,7,PC616__item.webp,580,361,68.9,0.1045,,
PC619,PC619__solo.webp,1527,907,0.993,4,PC619__item.webp,900,619,,,,
PC811,PC811__solo.webp,1528,944,0.993,4,PC811__item.webp,474,820,18.39,0.1065,,
PC812,PC812__solo.webp,1528,944,0.993,4,PC812__item.webp,474,821,18.39,0.1065,,
PC813,PC813__solo.webp,1526,937,0.993,4,PC813__item.webp,470,811,18.39,0.1065,,
PC814,PC814__solo.webp,1522,931,0.992,4,PC814__item.webp,466,800,18.39,0.1065,,
PC815,PC815__solo.webp,1521,927,0.992,4,PC815__item.webp,465,787,18.39,0.1065,,
PC823,PC823__solo.webp,1523,936,0.993,4,PC823__item.webp,458,784,18.39,0.1065,,
PC824,PC824__solo.webp,1522,939,0.993,4,PC824__item.webp,457,787,18.39,0.1065,,
PC882F,PC882F__solo.webp,1528,937,0.967,8,PC882F__item.webp,443,707,,,,
PC883F,PC883F__solo.webp,1528,937,0.968,10,PC883F__item.webp,900,749,,,,
PC884IT,PC884IT__solo.webp,1515,913,0.988,3,PC884IT__item.webp,362,687,52.41,0.0636,,
PC885IT,PC885IT__solo.webp,1518,859,0.987,3,PC885IT__item.webp,347,601,52.41,0.0636,,
PC886IT,PC886IT__solo.webp,1531,943,0.993,4,PC886IT__item.webp,389,737,56.7,0.0428,,
PC887IT,PC887IT__solo.webp,1528,936,0.993,4,PC887IT__item.webp,370,739,52.41,0.0636,,
PC888IT,PC888IT__solo.webp,1535,945,0.994,4,PC888IT__item.webp,415,727,56.7,0.0428,,
PC889IT,PC889IT__solo.webp,1518,945,0.993,4,PC889IT__item.webp,397,727,56.7,0.0428,,
PC901-100IT,PC901-100IT__solo.webp,557,939,0.866,3,PC901-100IT__item.webp,557,784,21.69,0.1383,,
PC901-50,PC901-50__solo.webp,1182,935,0.919,4,PC901-50__item.webp,537,760,21.69,0.1383,,
PC901,PC901__solo.webp,1182,935,0.92,5,PC901__item.webp,537,760,21.69,0.1383,,
PC901A5-50,PC901A5-50__solo.webp,609,904,0.876,2,PC901A5-50__item.webp,609,716,21.69,0.1383,,
PC902-100IT,PC902-100IT__solo.webp,557,939,0.864,3,PC902-100IT__item.webp,557,784,0.1,0.0024,,
PC902-50IT,PC902-50IT__solo.webp,557,939,0.867,3,PC902-50IT__item.webp,557,784,0.1,0.0024,,
PC902IT,PC902IT__solo.webp,557,939,0.867,3,PC902IT__item.webp,557,784,0.1,0.0024,,
PC903-100IT,PC903-100IT__solo.webp,557,939,0.876,4,PC903-100IT__item.webp,248,43,19.05,0.0771,,
PC903-50,PC903-50__solo.webp,1182,935,0.928,5,PC903-50__item.webp,899,711,19.05,0.0771,,
PC903,PC903__solo.webp,1182,935,0.93,4,PC903__item.webp,899,711,19.05,0.0771,,
PC905-50,PC905-50__solo.webp,1182,935,0.928,4,PC905-50__item.webp,899,711,,,,
PC911,PC911__solo.webp,1223,688,0.988,5,PC911__item.webp,232,369,68.01,0.0308,,
PC911A,PC911A__solo.webp,1242,688,0.991,6,PC911A__item.webp,220,351,68.01,0.0308,,
PC912,PC912__solo.webp,1128,936,0.939,4,PC912__item.webp,417,526,1.77,0.1816,,
PC913,PC913__solo.webp,1065,935,0.924,4,PC913__item.webp,629,448,0.87,0.0547,,
PC915,PC915__solo.webp,996,935,0.889,3,PC915__item.webp,330,486,1.77,0.1816,,
PC916,PC916__solo.webp,967,936,0.885,3,PC916__item.webp,566,403,0.87,0.0547,,
PC919,PC919__solo.webp,1533,942,0.992,5,PC919__item.webp,900,607,,,,
PC920,PC920__solo.webp,1463,877,0.978,2,PC920__item.webp,900,539,,,,
PD034-37,PD034-37__solo.webp,1533,931,0.992,3,PD034-37__item.webp,409,900,6.98,0.1397,,
PD034-38,PD034-38__solo.webp,1535,932,0.991,3,PD034-38__item.webp,408,900,6.98,0.1397,,
PD034-39,PD034-39__solo.webp,1535,929,0.991,3,PD034-39__item.webp,410,900,6.98,0.1397,,
PD034-40,PD034-40__solo.webp,1534,932,0.992,3,PD034-40__item.webp,409,900,6.98,0.1397,,
PD034-41,PD034-41__solo.webp,1532,931,0.992,3,PD034-41__item.webp,406,900,6.98,0.1397,,
PD034-42,PD034-42__solo.webp,1535,930,0.992,3,PD034-42__item.webp,412,900,6.98,0.1397,,
PD034-43,PD034-43__solo.webp,1534,932,0.992,3,PD034-43__item.webp,407,900,6.98,0.1397,,
PD034-44,PD034-44__solo.webp,1534,932,0.992,3,PD034-44__item.webp,409,900,6.98,0.1397,,
PD034-45,PD034-45__solo.webp,1534,929,0.992,3,PD034-45__item.webp,409,900,6.98,0.1397,,
PD034-46,PD034-46__solo.webp,1534,931,0.992,3,PD034-46__item.webp,417,815,6.98,0.1397,,
PD034-48,PD034-48__solo.webp,1534,931,0.991,3,PD034-48__item.webp,408,900,6.98,0.1397,,
PD034-49,PD034-49__solo.webp,1531,931,0.992,3,PD034-49__item.webp,406,900,6.98,0.1397,,
PD034-50,PD034-50__solo.webp,1532,930,0.992,3,PD034-50__item.webp,407,900,6.98,0.1397,,
PD034-51,PD034-51__solo.webp,1534,933,0.992,3,PD034-51__item.webp,407,900,6.98,0.1397,,
PD140-01,PD140-01__solo.webp,848,646,0.874,3,PD140-01__item.webp,596,562,69.95,0.0568,,
PD140-02,PD140-02__solo.webp,851,650,0.874,3,PD140-02__item.webp,596,561,69.95,0.0568,,
PD140-03,PD140-03__solo.webp,677,740,0.89,2,PD140-03__item.webp,677,647,69.95,0.0568,,
PD140-04,PD140-04__solo.webp,928,740,0.909,1,PD140-04__item.webp,687,658,69.95,0.0568,,
PE025,PE025__solo.webp,1296,873,0.76,4,PE025__item.webp,900,606,86.18,0.1753,,
PE025N,PE025N__solo.webp,1295,874,0.742,4,PE025N__item.webp,463,874,86.18,0.1753,,
PE026-1,PE026-1__solo.webp,1158,822,0.889,4,PE026-1__item.webp,525,761,39.76,0.0553,,
PE026-2,PE026-2__solo.webp,1160,824,0.885,5,PE026-2__item.webp,523,760,39.76,0.0553,,
PE026-3,PE026-3__solo.webp,1159,823,0.883,4,PE026-3__item.webp,523,758,39.76,0.0553,,
PE026,PE026__solo.webp,1160,825,0.887,4,PE026__item.webp,524,759,39.76,0.0553,,
PE027-1,PE027-1__solo.webp,1068,860,0.902,2,PE027-1__item.webp,400,550,114.71,0.1135,,
PE027,PE027__solo.webp,1296,861,0.992,4,PE027__item.webp,395,541,114.71,0.1135,,
PE028-1,PE028-1__solo.webp,1213,822,0.989,4,PE028-1__item.webp,419,511,63.03,0.0658,,
PE028-2,PE028-2__solo.webp,1062,841,0.896,2,PE028-2__item.webp,419,511,63.03,0.0658,,
PE028,PE028__solo.webp,1040,843,0.897,2,PE028__item.webp,420,516,63.03,0.0658,,
PE029-1,PE029-1__solo.webp,1058,844,0.849,3,PE029-1__item.webp,338,533,79.56,0.1745,,
PE029-2,PE029-2__solo.webp,1062,844,0.848,3,PE029-2__item.webp,354,520,79.56,0.1745,,
PE029,PE029__solo.webp,1046,844,0.849,2,PE029__item.webp,305,535,79.56,0.1745,,
PE030,PE030__solo.webp,869,853,0.701,2,PE030__item.webp,869,853,,,,
PE031-1,PE031-1__solo.webp,1210,899,0.9,4,PE031-1__item.webp,562,317,160.32,0.1829,,
PE031-2,PE031-2__solo.webp,1528,897,0.987,3,PE031-2__item.webp,589,332,160.32,0.1829,,
PE032-01,PE032-01__solo.webp,1181,800,0.892,4,PE032-01__item.webp,463,131,25.83,0.1045,,
PE032-02,PE032-02__solo.webp,1179,800,0.868,5,PE032-02__item.webp,160,50,25.83,0.1045,,
PE032-03,PE032-03__solo.webp,1154,800,0.88,4,PE032-03__item.webp,160,51,25.83,0.1045,,
PE032-04,PE032-04__solo.webp,1152,801,0.879,4,PE032-04__item.webp,160,51,25.83,0.1045,,
PE033-1,PE033-1__solo.webp,1210,897,0.906,5,PE033-1__item.webp,547,295,114.1,0.1995,,
PE033-2,PE033-2__solo.webp,1216,897,0.908,5,PE033-2__item.webp,227,31,114.1,0.1995,,
PE034-1,PE034-1__solo.webp,1197,901,0.923,3,PE034-1__item.webp,466,383,176.21,0.1038,,
PE034-2,PE034-2__solo.webp,1203,925,0.935,3,PE034-2__item.webp,584,442,176.21,0.1038,,
PE035-1,PE035-1__solo.webp,1527,943,0.994,5,PE035-1__item.webp,640,674,,,,
PE036-01,PE036-01__solo.webp,1207,813,0.883,3,PE036-01__item.webp,579,556,,,,
PE102,PE102__solo.webp,1128,921,0.926,3,PE102__item.webp,151,900,,,,
PE105-5,PE105-5__solo.webp,1196,919,0.913,3,PE105-5__item.webp,74,900,32.75,0.0942,,
PE105,PE105__solo.webp,1546,904,0.926,4,PE105__item.webp,73,900,32.75,0.0942,,
PE105O-5,PE105O-5__solo.webp,1536,923,0.913,4,PE105O-5__item.webp,74,900,32.75,0.0942,,
PE105O,PE105O__solo.webp,1533,920,0.935,4,PE105O__item.webp,72,900,32.75,0.0942,,
PE106,PE106__solo.webp,1528,944,0.992,3,PE106__item.webp,284,900,,,,
PE123-5,PE123-5__solo.webp,1233,921,0.872,3,PE123-5__item.webp,72,900,32.75,0.0942,,
PE123,PE123__solo.webp,1231,963,0.896,3,PE123__item.webp,71,900,32.75,0.0942,,
PE124-5,PE124-5__solo.webp,1226,923,0.912,3,PE124-5__item.webp,72,900,32.75,0.0942,,
PE124,PE124__solo.webp,1267,923,0.916,3,PE124__item.webp,73,900,32.75,0.0942,,
PE128-01,PE128-01__solo.webp,1527,944,0.991,5,PE128-01__item.webp,104,900,0.07,0.0045,,
PE128-02,PE128-02__solo.webp,1527,944,0.991,5,PE128-02__item.webp,104,900,0.07,0.0045,,
PE128-03,PE128-03__solo.webp,1528,944,0.991,4,PE128-03__item.webp,104,900,0.07,0.0045,,
PE128B,PE128B__solo.webp,1527,944,0.989,4,PE128B__item.webp,104,900,0.07,0.0045,,
PE128C,PE128C__solo.webp,1527,944,0.989,4,PE128C__item.webp,104,900,0.07,0.0045,,
PE131,PE131__solo.webp,1528,944,0.988,5,PE131__item.webp,77,542,46.32,0.1916,,
PE131R,PE131R__solo.webp,1528,847,0.984,4,PE131R__item.webp,137,669,46.32,0.1916,,
PE134,PE134__solo.webp,1528,945,0.988,2,PE134__item.webp,93,900,,,,
PE135,PE135__solo.webp,1529,945,0.988,2,PE135__item.webp,93,900,,,,
PE140-01,PE140-01__solo.webp,953,939,0.8,2,PE140-01__item.webp,75,900,37.1,0.0678,,
PE140-02,PE140-02__solo.webp,1529,942,0.977,3,PE140-02__item.webp,76,900,37.1,0.0678,,
PE140-03,PE140-03__solo.webp,954,940,0.8,2,PE140-03__item.webp,75,900,37.1,0.0678,,
PE140-04,PE140-04__solo.webp,953,939,0.8,2,PE140-04__item.webp,76,900,37.1,0.0678,,
PE140-05,PE140-05__solo.webp,1528,939,0.977,3,PE140-05__item.webp,75,900,37.1,0.0678,,
PE140-06,PE140-06__solo.webp,952,940,0.769,2,PE140-06__item.webp,76,900,37.1,0.0678,,
PE140-07,PE140-07__solo.webp,1528,940,0.978,3,PE140-07__item.webp,75,900,37.1,0.0678,,
PE140-08,PE140-08__solo.webp,1528,945,0.982,3,PE140-08__item.webp,76,900,37.1,0.0678,,
PE140-12,PE140-12__solo.webp,1528,945,0.983,3,PE140-12__item.webp,75,900,37.1,0.0678,,
PE140-13,PE140-13__solo.webp,1128,932,0.872,4,PE140-13__item.webp,72,900,37.1,0.0678,,
PE140-14,PE140-14__solo.webp,1101,940,0.853,6,PE140-14__item.webp,72,900,37.1,0.0678,,
PE140-16,PE140-16__solo.webp,1530,945,0.992,10,PE140-16__p13.webp,129,156,37.1,0.0678,,
PE140,PE140__solo.webp,1528,940,0.977,3,PE140__item.webp,75,900,37.1,0.0678,,
PE140A-12,PE140A-12__solo.webp,955,943,0.809,2,PE140A-12__item.webp,75,900,37.1,0.0678,,
PE140A-S,PE140A-S__solo.webp,953,940,0.814,2,PE140A-S__item.webp,88,900,37.1,0.0678,,
PE140N-12,PE140N-12__solo.webp,953,938,0.821,2,PE140N-12__item.webp,76,900,37.1,0.0678,,
PE140N-S,PE140N-S__solo.webp,953,938,0.814,2,PE140N-S__item.webp,75,900,37.1,0.0678,,
PE140R-S,PE140R-S__solo.webp,952,939,0.814,2,PE140R-S__item.webp,74,900,37.1,0.0678,,
PE143,PE143__solo.webp,1528,943,0.989,4,PE143__item.webp,272,900,,,,
PE144,PE144__solo.webp,1529,945,0.988,4,PE144__item.webp,133,900,19.75,0.0325,,
PE144A,PE144A__solo.webp,970,874,0.808,3,PE144A__item.webp,133,900,19.75,0.0325,,
PE144N,PE144N__solo.webp,970,875,0.813,3,PE144N__item.webp,132,900,19.75,0.0325,,
PE144O,PE144O__solo.webp,1528,945,0.99,4,PE144O__item.webp,133,900,19.75,0.0325,,
PE144OA,PE144OA__solo.webp,969,874,0.817,3,PE144OA__item.webp,133,900,19.75,0.0325,,
PE144ON,PE144ON__solo.webp,970,875,0.817,3,PE144ON__item.webp,132,900,19.75,0.0325,,
PE147-1,PE147-1__solo.webp,978,940,0.78,3,PE147-1__item.webp,84,754,16.06,0.0708,,
PE147-2,PE147-2__solo.webp,978,938,0.752,3,PE147-2__item.webp,84,759,16.06,0.0708,,
PE147-4,PE147-4__solo.webp,1528,940,0.985,4,PE147-4__item.webp,83,760,16.06,0.0708,,
PE147-5,PE147-5__solo.webp,1525,940,0.984,4,PE147-5__item.webp,84,759,16.06,0.0708,,
PE147,PE147__solo.webp,1529,941,0.982,4,PE147__item.webp,83,758,16.06,0.0708,,
PE147N-IT,PE147N-IT__solo.webp,977,903,0.774,2,PE147N-IT__item.webp,245,793,16.06,0.0708,,
PE162,PE162__solo.webp,1528,874,0.983,4,PE162__item.webp,104,900,,,,
PE164-1,PE164-1__solo.webp,1528,938,0.987,3,PE164-1__item.webp,192,900,12.72,0.0583,,
PE164-2,PE164-2__solo.webp,1038,938,0.856,2,PE164-2__item.webp,192,900,12.72,0.0583,,
PE164-3,PE164-3__solo.webp,1040,941,0.855,2,PE164-3__item.webp,178,900,12.72,0.0583,,
PE164A-S,PE164A-S__solo.webp,1040,938,0.853,2,PE164A-S__item.webp,192,900,12.72,0.0583,,
PE164N-S,PE164N-S__solo.webp,1040,941,0.853,2,PE164N-S__item.webp,178,900,12.72,0.0583,,
PE178,PE178__solo.webp,1527,944,0.985,5,PE178__item.webp,458,900,,,,
PE179,PE179__solo.webp,1529,944,0.985,5,PE179__item.webp,458,900,,,,
PE180,PE180__solo.webp,1529,961,0.989,3,PE180__item.webp,97,900,11.09,0.0589,,
PE180O,PE180O__solo.webp,1529,961,0.988,3,PE180O__item.webp,97,900,11.09,0.0589,,
PE180P,PE180P__solo.webp,958,910,0.707,2,PE180P__item.webp,101,900,11.09,0.0589,,
PE185,PE185__solo.webp,1040,906,0.918,2,PE185__item.webp,900,821,,,,
PE194,PE194__solo.webp,1529,944,0.983,3,PE194__item.webp,76,900,,,,
PE195,PE195__solo.webp,1528,944,0.983,3,PE195__item.webp,74,900,,,,
PE198,PE198__solo.webp,1528,919,0.983,3,PE198__item.webp,103,900,,,,
PE199,PE199__solo.webp,1529,916,0.984,3,PE199__item.webp,108,900,,,,
PE206A-S,PE206A-S__solo.webp,1063,940,0.745,4,PE206A-S__item.webp,59,900,15.48,0.0534,,
PE206AC-S,PE206AC-S__solo.webp,1063,941,0.743,4,PE206AC-S__item.webp,56,900,15.48,0.0534,,
PE206AL-S,PE206AL-S__solo.webp,1063,938,0.739,4,PE206AL-S__item.webp,57,900,15.48,0.0534,,
PE206AM-S,PE206AM-S__solo.webp,1063,938,0.74,4,PE206AM-S__item.webp,57,900,15.48,0.0534,,
PE206AO-S,PE206AO-S__solo.webp,1063,943,0.745,4,PE206AO-S__item.webp,59,900,15.48,0.0534,,
PE206CA-S,PE206CA-S__solo.webp,1063,939,0.739,4,PE206CA-S__item.webp,57,900,15.48,0.0534,,
