famiglia,capitolo,sottocategoria,n_codici,membri,sug_finestra,sug_gruppo,sug_nota,gruppo,separa,finestra,img,descrizione,badge,nota
PF041IT-12,COPRIMAXI,COPRIMAXI,12,PF041IT-01 PF041IT-02 PF041IT-03 PF041IT-04 PF041IT-05 PF041IT-06 PF041IT-07 PF041IT-08 PF041IT-09 PF041IT-10 PF041IT-11 PF041IT-12,PF041IT-03 · W1 colore di punta BLU,,,,,PF041IT-03,,,,
PF042IT-10,COPRIMAXI,COPRIMAXI,10,PF042IT-01 PF042IT-02 PF042IT-03 PF042IT-04 PF042IT-05 PF042IT-06 PF042IT-07 PF042IT-08 PF042IT-09 PF042IT-10,PF042IT-06 · W2 taglia media,,,,,PF042IT-06,,,,
PF043,COPRIMAXI,COPRIMAXI,1,PF043IT,,,,,,,,,,
BD23023,Bigdream,KIT,1,BD23023,,,,,,,,,,
PB978,MODULISTICA,BLOCCHI,1,PB978IT,,,,,,,,,,
PB972,MODULISTICA,BUONI,1,PB972IT,,BUONI DI CONSEGNA COPIE MODULI MP · M3 stesso design 2 formati,,BUONI DI CONSEGNA COPIE MODULI MP,,,,,,
PB973,MODULISTICA,BUONI,1,PB973IT,,BUONI DI CONSEGNA COPIE MODULI MP · M3 stesso design 2 formati,,BUONI DI CONSEGNA COPIE MODULI MP,,,,,,
PN529IT,MODULISTICA,CARTA TERMINCA,6,PN529IT PN529IT PN531IT PN531IT PN534IT PN534IT,PN531IT · W2 taglia media,,,,,PN531IT,,,,
PB976,MODULISTICA,COMANDE,1,PB976IT,,COMANDE COPIE MODULI MP · M3 stesso design 2 formati,,COMANDE COPIE MODULI MP,,,,,,
PB977,MODULISTICA,COMANDE,1,PB977IT,,COMANDE COPIE MODULI MP · M3 stesso design 2 formati,,COMANDE COPIE MODULI MP,,,,,,
PB974,MODULISTICA,DDT,1,PB974IT,,,,,,,,,,
PB970,MODULISTICA,REGISTRI,1,PB970IT,,,,,,,,,,
PB971,MODULISTICA,RICEVUTE,1,PB971IT,,,,,,,,,,
PB975,MODULISTICA,RICEVUTE,1,PB975IT,,,,,,,,,,
PB979,MODULISTICA,RICEVUTE,1,PB979IT,,,,,,,,,,
PB980,MODULISTICA,RICEVUTE,1,PB980IT,,,,,,,,,,
MP BLOCCO A7 70FF/60G,BLOCCHI,BLOCCHI,8,PB184IT PB185IT PB186IT-01 PB186IT-02 PB186IT-03 PB187IT-01 PB187IT-02 PB187IT-03,PB186IT-03 · W2 taglia media,,,,,PB186IT-03,,,,
MP BLOCCO SPIRALATO A7 60FF/80G,BLOCCHI,BLOCCHI SPIRALATI,8,PB188IT PB189IT PB190IT-01 PB190IT-02 PB190IT-03 PB191IT-01 PB191IT-02 PB191IT-03,PB190IT-03 · W2 taglia media,,,,,PB190IT-03,,,,
"PB1028IT
PB1029IT",BLOCCHI DA DISEGNO,CARTA LUCIDA,2,PB1028IT PB1029IT,,,,,,,,,,
"PB1030IT
PB1031IT",BLOCCHI DA DISEGNO,CARTA MILLIMETRATA,2,PB1030IT PB1031IT,,,,,,,,,,
PB1032,BLOCCHI DA DISEGNO,M2,1,PB1032IT,,,,,,,,,,
PB1033,BLOCCHI DA DISEGNO,M2,1,PB1033IT,,,,,,,,,,
PB1034,BLOCCHI DA DISEGNO,M2,1,PB1034IT,,,,,,,,,,
PB1035,BLOCCHI DA DISEGNO,M4,1,PB1035IT,,BLOCCO DISEGNO M4 20FF LISCIO ARTIX · M3 stesso design 2 formati,,BLOCCO DISEGNO M4 20FF LISCIO ARTIX,,,,,,
PB1036,BLOCCHI DA DISEGNO,M4,1,PB1036IT,,BLOCCO DISEGNO M4 20FF RUVIDO ARTIX · M3 stesso design 2 formati,,BLOCCO DISEGNO M4 20FF RUVIDO ARTIX,,,,,,
PB1037,BLOCCHI DA DISEGNO,M4,1,PB1037IT,,BLOCCO DISEGNO M4 20FF RIQ.LISC ARTIX · M3 stesso design 2 formati,,BLOCCO DISEGNO M4 20FF RIQ.LISC ARTIX,,,,,,
PB1039,BLOCCHI DA DISEGNO,M4,1,PB1039IT,,BLOCCO DISEGNO M4 20FF LISCIO ARTIX · M3 stesso design 2 formati,,BLOCCO DISEGNO M4 20FF LISCIO ARTIX,,,,,,
PB1040,BLOCCHI DA DISEGNO,M4,1,PB1040IT,,BLOCCO DISEGNO M4 20FF RUVIDO ARTIX · M3 stesso design 2 formati,,BLOCCO DISEGNO M4 20FF RUVIDO ARTIX,,,,,,
PB1041,BLOCCHI DA DISEGNO,M4,1,PB1041IT,,BLOCCO DISEGNO M4 20FF RIQ.LISC ARTIX · M3 stesso design 2 formati,,BLOCCO DISEGNO M4 20FF RIQ.LISC ARTIX,,,,,,
PB1038,BLOCCHI DA DISEGNO,MC,1,PB1038IT,,,,,,,,,,
PG018IT,ACCESSORI,ELASTICI,9,PG006IT PG006IT-F PG007IT PG008IT PG009IT PG011IT PG014IT PG015IT PG018IT,PG009IT · W2 taglia media,,,,,PG009IT,,,,
PA010,ACCESSORI,NASTRO TESSILE,1,PA010,,,,,,,,,,
PA337,ACCESSORI,PORTACHIAVI,1,PA337-1,,,,,,,,,,
EX167,ESPOSITORE,CESTONE,1,EX167-100IT,,,,,,,,,,
EXM009,ESPOSITORE,LIBRERIA,1,EXM009XIT,,,,,,,,,,
PF043,COPRILIBRO,COPRILIBRO,1,PF043,,,,,,,,,,
PF044,COPRILIBRO,COPRILIBRO,1,PF044,,,,,,,,,,
PP501,BELLE ARTI,BULINI,1,PP501IT,,,,,,,,,,
PP500,BELLE ARTI,RASCHIETTO,1,PP500IT,,,,,,,,,,
MP TEMPERAMATITE DOPPIO FORO CON SERBATOIO CO,,,,,,,,,,,,,,
MP BUSTA 20PZ,,,,,,,,MP BUSTA 20PZ,PS007 PS004,,,,,
MP BUSTA 10PZ C/ASSORT,,,,,,,,MP BUSTA 20PZ,,,,,,
MP CESTINO METALLICO NERO,,,,,,,,,PA920C,,,,,
PA920C,,,,,,,,PA919C,,,,,,
PA919C,,,,,,,,PA919C,,,,,,
MP RIGHELLO CON GUIDE FORME LETTERE,,,,,,,,MP RIGHELLO CON GUIDE FORME LETTERE,,,,,,
ARTIX BLOCCO DISEGNO COP. PP NERO LISC,,,,,,,,,PB346,,,,,
MP SET PENNELLI PER SCUOLA,,,,,,,,,PP220,,,,,
MP SET PENNELLI SCOLASTICI EASY GRIP,,,,,,,,,PP279 PP279-1,,,,,
ARTIX PENNELLI PROF 3PZ ASSORT,,,,,,,,,,,,,,
ARTIX PENNELLI PROF PIATTI/TONDI 3PZ ASSORT,,,,,,,,,,,PP284,,,
MP CARTONCINO BIANCO DIAMANTE,,,,,,,,,,,PN430,,,
MP CORRETTORE A PENNA 4PZ,,,,,,,,,,,PA431,,,
MP MINI CORRETTORE A NASTRO X,,,,,,,,,,PA467-1,PA467-2,,,
PE552AM,,,,,,,,,,,,,,
PE552A,,,,,,,,,,,,,,
PE551AM,,,,,,,,,,,,,,
MP CORRETTORE A NASTRO X,,,,,,,,MP CORRETTORE A NASTRO X,,,,,,
MP MINI CORRETTORE A PENNA 4PZ,,,,,,,,,,,PA435,,,
